Originator,Text,Age,Person whose age we surmised
mangeczko , HI @Harry_Styles CAN U SAY SOMETHING NICE OR FOLLOW ME? TODAY IS MY BIRTHDAY AND THIS IS MY DREAM ILYSM  137,,
CatsValentine_ , Happy Birthday @ArianaGrande  x7,,
Narryandnouis_ ,  It's @RachaelBanjo birthday in a few days please follow her bc she's amazing {@onedirection @zaynmalik }  x105,,
captainchanz , RT @_ohMYAgosh: @captainchanz: @_ohMYAgosh: Birthday tomorrow You finally be 15  erkyyyy,,
Sanjaybird ," @luitneildon why u have no Dom/courage 2mention name of ur old Boss @Newstimeassam @Atanubhuyan ,Nitumani etc..?",,
harryanddonut , @Ashton5SOS PLEASE FOLLOW ME IT WOULD MEAN THE WORLD LOVE YOU SO MUCH ITS MY BIRTHDAY IT WOULD BE THE BEST BIRTHDAY PRESENT 5,,
Daisy_India_ , RT @cox_tom: About ten years ago a bird near my house used to mimic my landline. Now there's one who mimics a text buzz. Jesus. Birds are f,,
SenosiO , RT @HollywoodAde: This guy Trick Trick is 40 years old acting up in Detroit. Is he helping or hurting by blocking artists from their perfor,,
StephenSchurer ," RT @FootballFact101: 24 years-old, 7 games, 8 #WorldCup goals...#GER Thomas Muller.",,
Zeedo_Ingawa ," RT @cnni: BREAKING:Three Al Jazeera journalists convicted by Egyptian court of aiding Muslim Brotherhood, sentenced to 7 years in prison.",,
jazzylove1029 , HAPPY 18th BIRTHDAY! I love you @kayla_nichole6 and we have so many more memories to create and now http://t.co/69hHVWglvU,,
ryandolan123 , @RBXcmn65 @appie1777 me 5 years ago when I was 10 years old,,
joetea48 ," RT @jenditchburn: Key moment in history of Confederation happened 150 years ago this week, The Great Coalition. http://t.co/uNvGUgY4F3 #cdn",,
LinekeK , RT @MarietjeSchaake: Journalism is not a crime! This is terrible #pressfreedom #Egypt @katebt3000: .@PeterGreste @Repent11 @Bahrooz 7 year,,
Naimz14 , RT @_StrictlySoccer: Happy birthday #D10S http://t.co/NIpTwOj05u,,
obadgeto ," RT @kanyewest: I am honored and humbled by my fans, for the unwavering support and love over the past ten years."
Officewizz , RT @SciencePorn: The difference 25 years makes http://t.co/Jzwxksf9Du
PopeKylerthe1st , RT @LifelsAmazing: This is how baby elephants drink water. They don't know how to use their trunks to drink until they are 9 months old. ht
yaswilly , RT @TommyPickles94: My birthday is 9 months after my dad's......nigga...... I WAS BIRTHDAY SEX
iamanishas , @AustinMahone I KNOW!! AHHH WOOHOO been 2 years since you first came!!
ItsssAshleeeyyy , RT @dariatbh: You are not a hippy flower child you are a 16 year old in the year 2014 in a Pac Sun t-shirt knock it off.
Fa6oumi25 , RT @shroof_hayati: Happy birthday f6oom  @Fa6oumi25
JaPharii757 , @IceJJFish #Pittsburgh July1st for @3PhonesEnt CEO #Mr3Phones Birthday bash @ #StreetKings #IceJJFish http://t.co/twYY5W2F3e
_faza , RT @dianqamajaya: Happy birthday to former #LFC player @LuchoGarcia14 who turns 36 today. #IstanbulHero http://t.co/OVkn7WvKl1
belkissme78 ," RT @SportsCenter: Happy birthday, Lionel Messi. Argentina's superstar turns 27 today. http://t.co/ESlQSdVgD9"
demstalks ," @KatGraham Hi Kat, it's only one hour till my birthday! Could I ask for the best gift? Can I get an early birthday wishes? Please!7"
tvdfangsss ," RT @sunkistzarry: ""Haha, you actually spent all your teenage years on One Direction?"" Me: #InternationalFangirlDay http://t.co/WNXI8yNflg"
gabriellealissa , RT @madisonvlasic:  3 years strong with my loves (((i missed janelle so much)))  http://t.co/kHEPnoOWCB
RosSwagger , RT @KidrauhlMadeIt: Justin's gonna be in Miami the 2nd week of July which is my birthday but he's going for court and I don't wanna fly the
mangeczko , HI @Harry_Styles CAN U SAY SOMETHING NICE OR FOLLOW ME? TODAY IS MY BIRTHDAY AND THIS IS MY DREAM ILYSM  144
CashewCatthew , @tyleroakley tyler i love u but he said this 2 fucking years ago he might have changed his opinion ok.
iJamzo , @CP_Kasey @xNickston NICK WHY DO U KNOW SO MANY 14 YEAR OLD GIRLS
Monrowe , RT @Diamond_London: RT @Monrowe: Happy Birthday to one of the table. My boo. http://t.co/B6omy2t2rr My bloodline is just too peng! 
nicolemcl , RT @MrDDyer: @kevinbridges86 2 long years. It was perfect. Well done boy. Great cause.
KelseyisaKoala ," RT @troyesivan: @taylorcaniff Dude i sincerely hope you've grown up/changed over the last 2 years. For some reason, you have INFLUENCE. Try"
_JonathanHolt ," @thestate: The State's front page, five years ago today. http://t.co/EshcyIzbg4 Ahh, how quickly SC voters forgive (forget)."
Janosnicky , RT @5SecondOfJoshTw: @JayTheWanted HI JAY If this tweet gets 150+ rts before July 6th (My birthday Ayyy ) can you follow me? You're my 
TheOnlyCdorsey ," RT @QTangClan: I don't think Germany wants to tie with us, seeing how we left their country destroyed about 75 years ago #ww2 #oldgrudgesne"
CSanSebastian , RT @devex: Aid to education dropped 10% over 2 years http://t.co/2A1primS36
PaintStainAtlas ," RT @caitlinmoran: Happy 111th birthday, George Orwell. If you can find some way to reanimate your brain, it would be very useful these days."
stiles96 ," @NiallOfficial Hi, Niall. Tomorrow is my Birthday. You could make me happy this day? Follow me, please 141"
Tp_turntt ," RT @MySportsLegion: Derrick Rose has been playing 5-on-5 every day and looks like ""the old Derrick Rose."" (h/t CBS)"
Liza_love_5SOS ,"  @Luke5SOS  @5SOS  Luke Hemmings,can you follow me please before my birthday on August 19th?  2854"
nicoleiolie99 , Justin Bieber please notice mee @justinbieber it's my birthday and I've been supporting you since day 1!! #ShotsOfMe it's been 5 yearsss 6
OhSoKardash , RT @KimKardashian: Our baby girl's 1st birthday party! #kidchella http://t.co/MbE1J0yXDL
ZamohtGirl96 , @YourGirlSerena @ShaylaSell Happy Birthday to two beautiful girls who are 100x cooler than me:) (sorry I'm a day late haha)
victoriamurr96 , RT @miilkkk: Kanye &amp; Kim Hold A Kidchella Birthday Bash For Baby North ...Wait She's 1 already!? http://t.co/qWDz7QO6lm
__inSIDeous , RT @HorryPuttor: crazey trick: taek ur age add 2 yeers dats how old u wil be in 2 yeers mind = blowne
HutchinsPhoto , RT @YRInsider: .@JessWaltonYR thank you for entertaining us for 27 years as Jill on #YR! http://t.co/5tPwgniiXv
CollectCelticFC , @SFA one of many reasons why you are useless.. 24 years since Scotland last won a game at World Cup. beating Sweden 2 -1
itsashtonsgap , RT @ASHtonIn1D: @5SOS @Ashton5SOS #5sosupindisstream LIVESTREAM  Could u say happy birthday to me? Mebi follow bc I love u? 1
MySlimDoggy , Dog Birthday Cake Recipe for Chuy's 5th Birthday http://t.co/ofNLMB54Iy via @irresistiblepet
arianafeatjbiba ," @ArianaGrande HAPPY BIRTHDAY MY QUEEN! I LOVE U SO MUCH, MY ANGEL! PLEASE FOLLOW ME, REALIZE MY DREAM?  x 63"
BoroWalms , RT @TeamMessi: #HappyBirthdayMessi - RT to win a signed pair of exclusive @adidasfootball birthday #F50s! #allin or nothing http://t.co/qL
xeqykidejiwe , RT @KUDUNEWS: The first new Star Wars character in nine years. Let the great debate begin. - #celebrities #gossip #kudunews http://t.co/NPj
markbarbato30 ," RT @UberFootFact: Happy Birthday to one of the greatest footballers ever, Zinedine Zidane! http://t.co/KX2y6Vgge9"
Louis_Curvs , RT @dimpIous: he left louis when he was only 10 days old and now that louis' internationally famous and rich he comes back bitch back off u
mackenzienowlan , Happy birthday @ashstafford97 I hope you have an amazing day you deserve it  #17 #partyhard  http://t.co/7qKOtJPX0v
ImArabMoney , RT @soccerdotcom: Celebrate Messi - Follow and RT for the chance to win a pair of @adidassoccer birthday #F50s! #allin or nothing http://t
Belieber06660 , @ArianaGrande happy birthday princess  #HappyBirthdayArianaFromPoland x163
Bulldog108 ," ""@ferrarif1boy: @Mikedc73: @I_Hart_F1 @onehd I fucking hate @channelten I lived in Oz 4 2 years and I still hate @tensporttv now feel for u"
addhdgamer ," RT @mikandynothem: 226 years ago yesterday, the Constitution was ratified. Today, we have a President trying to destroy it. #tcot #tlot htt"
hemmoxsauce , @Michael5SOS MICHAEL CLIFFORD MY BIRTHDAY IS IN 3 DAYS &amp; IT WOULD MEAN SO MUCH IF YOU FOLLOWED ME I LOVE YOU  363
arielleeeeea_ ," RT @SinCityLife91: I want to grow old with one man and live life until my time is up, I don't want to play games."
sterssz ," RT @PaulbernalUK: Just a reminder, the regime that just sentenced the Al Jazeera journalists to 7+ years is the one Tony Blair says we shou"
Niall_Breezy , @Mr_Carterr Hi Carter today is my birthday A happy birthday tweet or follow would be the best present ever  x193
awe5sauce , @Luke5SOS Hey hi hello luke hemmings from 5sos my birthday is on the 29th and a follow would be the best present. I love you.  1976
mamaREALNESS , @iXiuMin: [FANACC] 140609 Samsung Music fansign: Xiumin made a new IG account because he did not like the old account's username wth
SandrelleLiima , @ArianaGrande Happy birthday my desire diva much happiness I love you so much  Brazil Loves You #HappyBirthdayAriana 1x
_Emike , RT @FieldMarshaal: Happy Birthday King Leo D10S #Messi27 http://t.co/FQ6gGMe1K8
BluenoseGames_ , 2015: One Of Best Years In Gaming?: http://t.co/VQF3rNeaCu via @YouTube @BrokenGamezHD
ItsHelenCx , @yerinbaek Happy Birthday!! :) Big 15&amp; fan ^-^
SwastiHP ," RT @KiranKS: Name: Syed. Job : Maulvi at a mosque in Maddur, KA. Crime : Sexual assault on a 14 yr old girl. Used a rod. Arrested. http://t"
allsmileshemmo ," RT @troyesivan: @taylorcaniff Dude i sincerely hope you've grown up/changed over the last 2 years. For some reason, you have INFLUENCE. Try"
mbr644 , @peterjrose1 @The_LCDC @TheLTDA please explain how a company who have completely u turned in less than 3 years while stabbing its workforce
shiningmarie , RT @infinitumbieber: @MadisonElleBeer Madison if this gets 150 rts will you follow me for my birthday that is on tuesday? i love you so muc
classof93niam ,  @NiallOfficial Hi Niall! It's my birthday today and a follow from you would be the best present! 80
jdbmavon , RT @arianagpr: @AlexaLuria 3 days for ariana's birthday 
tofishout , 16 unique inspiring holiday gifts for your family and friends http://t.co/AbNoiv6OQJ #Birthday #Wedding #Anniversary #Gift @retwitclub
thatnaturalist , RT @Disney: It's been 59 years since #LadyAndTheTramp went on their first date. http://t.co/DXpTpB7q1h
Chacha_LC , @Real_Liam_Payne hi sunshine  today is my birthday  and your following will be the greatest present ever  I love you so much  x82
TooCooMedia , Five Innovations That Will Transform Ecommerce In The Next 10 Years http://t.co/hxgNYZ9o0E via @forbes
_Moord , @justinbieber Hey .. it's my birthday. Can you follow me if you please? This would be the greatest gift. I love you very much  x34
simonleuf , RT @AJELive: Al Jazeera journalists sentenced to at least seven years in jail in #Egypt. #freeAJstaff http://t.co/AVGVRNPRps
janoftdirection ,  @TTLYTEALA #FOLLOWMETEALA my birthday is june 26 &amp; I'll i want is a follow from you! ive beem trying so hard!  11
weirdofhemmings , @Ashton5SOS @Calum5SOS @Michael5SOS @Luke5SOS  IT'S MY BIRTHDAY PLEASE FOLLOW ME I'AM SO PROUD OF YOU I LOVE YOU GUYS 77
skylarrmeyers , @OfficialSeanB_: It be like that sometimes  http://t.co/xePTS8ItJK same people 3 years in a row 
Sissy2814 , RT @shannongar72: @DogRescueTweets @KKCO11News 1year old Satchmo is waiting 4u! Rifle Animal Shelter 9706258808 #Colorado http://t.co/v2d9K
idcmackenzie , RT @SamFazz: happy birthday @RyanAbe!!! thx for making my best friend so happy!! hope u get to touch the butt 2night 
